id,title,r2_key,url,created_at,source
1,Technical sheet — Blend — Blend,,https://www.abk.it/public/dwnDoc/24253-164-BLEND.pdf,2026-05-10 13:55:49,abk
2,Technical sheet — Crossroad Chalk — Crossroad Chalk,,https://www.abk.it/public/dwnDoc/24254-929-CROSSROAD-CHALK.pdf,2026-05-10 13:55:49,abk
3,Technical sheet — Sensi Fantasy — Sensi Fantasy,,https://www.abk.it/public/dwnDoc/30376-920-SENSI-FANTASY.pdf,2026-05-10 13:55:49,abk
4,Technical sheet — Sensi Nuance — Sensi Nuance,,https://www.abk.it/public/dwnDoc/30377-981-SENSI-NUANCE.pdf,2026-05-10 13:55:49,abk
5,Technical sheet — Sensi 900 — Sensi 900,,https://www.abk.it/public/dwnDoc/30370-331-SENSI-900.pdf,2026-05-10 13:55:49,abk
6,Technical sheet — Sensi Gems — Sensi Gems,,https://www.abk.it/public/dwnDoc/24267-902-SENSI-GEMS.pdf,2026-05-10 13:55:49,abk
7,Technical sheet — Sensi Up — Sensi Up,,https://www.abk.it/public/dwnDoc/24268-669-SENSI-UP.pdf,2026-05-10 13:55:49,abk
8,Bathroom projects — Sensi Up — Sensi Up,,https://www.abk.it/public/dwnDoc/12492-465-EB-SENSI-UP.pdf,2026-05-10 13:55:49,abk
9,Technical sheet — Sensi Roma — Sensi Roma,,https://www.abk.it/public/dwnDoc/30371-842-SENSI-ROMA.pdf,2026-05-10 13:55:49,abk
10,Technical sheet — Poetry Stone — Poetry Stone,,https://www.abk.it/public/dwnDoc/23068-965-POETRY-STONE.pdf,2026-05-10 13:55:49,abk
11,Download Catalogue — Sandy — Sandy,,https://moooiceramicsurfaces.com/en/public/download/320-981-nesting-room-cat-gennaio-26.pdf,2026-05-10 13:55:49,abk
12,Technical specifications — Tasos shower — Tasos,,https://www.thebathcollection.com/productos/tasos-columna-ducha/?pdf=3404,2026-05-03 18:22:26,bathco
13,Technical specifications — Tasos recessed — Tasos,,https://www.thebathcollection.com/productos/tasos-grifo-ducha-empotrado/?pdf=3410,2026-05-03 18:22:26,bathco
14,Technical specifications — Milos recessed — Milos,,https://www.thebathcollection.com/productos/milos-griferia-de-ducha-cromo/?pdf=2250,2026-05-03 18:22:26,bathco
15,Technical specifications — Athenas recessed — Athenas,,https://www.thebathcollection.com/productos/griferia-de-ducha-athenas-negro/?pdf=1852,2026-05-03 18:22:26,bathco
16,Technical specifications — Athenas bathtub — Athenas,,https://www.thebathcollection.com/productos/grifo-de-banera-athenas/?pdf=1864,2026-05-03 18:22:26,bathco
17,Technical specifications — Iconos bathtub — Iconos,,https://www.thebathcollection.com/productos/griferia-de-banera-iconos-gris/?pdf=1843,2026-05-03 18:22:26,bathco
18,Technical specifications — Oropesa I — Oropesa,,https://www.thebathcollection.com/productos/oropesa-inodoro-suspendido/?pdf=2752,2026-05-03 18:22:26,bathco
19,Declaración de conformidad — Oropesa I — Oropesa,,https://www.thebathcollection.com/wp-content/uploads/2026/01/BATHCO-Declaracion-de-conformidad-UE-sanitarios.pdf,2026-05-03 18:22:26,bathco
20,Declaración de prestaciones — Oropesa I — Oropesa,,https://www.thebathcollection.com/wp-content/uploads/2026/01/BATHCO-Declaracion-de-prestaciones-DoP-Inodoro-mural.pdf,2026-05-03 18:22:26,bathco
21,Technical specifications — Evora I — Evora,,https://www.thebathcollection.com/productos/inodoro-suspendido-evora/?pdf=1945,2026-05-03 18:22:26,bathco
22,Technical specifications — Antequera I — Antequera,,https://www.thebathcollection.com/productos/antequera-inodoro-suspendido-mate/?pdf=871,2026-05-03 18:22:26,bathco
23,Technical specifications — Oropesa II — Oropesa,,https://www.thebathcollection.com/productos/inodoro-a-suelo-oropesa/?pdf=1927,2026-05-03 18:22:26,bathco
24,Declaración de prestaciones — Oropesa II — Oropesa,,https://www.thebathcollection.com/wp-content/uploads/2026/01/BATHCO-Declaracion-de-prestaciones-DoP-Inodoro-suelo.pdf,2026-05-03 18:22:26,bathco
25,Technical specifications — Antequera II — Antequera,,https://www.thebathcollection.com/productos/antequera-inodoro-a-suelo/?pdf=866,2026-05-03 18:22:26,bathco
26,Technical specifications — Antequera bidet I — Antequera,,https://www.thebathcollection.com/productos/antequera-bide-suspendido/?pdf=863,2026-05-03 18:22:26,bathco
27,Declaración de conformidad — Antequera bidet I — Antequera,,https://www.thebathcollection.com/wp-content/uploads/2026/01/BATHCO-Declaracion-de-conformidad-UE-bidets.pdf,2026-05-03 18:22:26,bathco
28,Technical specifications — Evora bidet I — Evora,,https://www.thebathcollection.com/productos/bide-suspendido-evora/?pdf=983,2026-05-03 18:22:26,bathco
29,Technical specifications — Oropesa bidet I — Oropesa,,https://www.thebathcollection.com/productos/oropesa-bide-suspendido/?pdf=2746,2026-05-03 18:22:26,bathco
30,Technical specifications — Oropesa bidet II — Oropesa,,https://www.thebathcollection.com/productos/oropesa-bide-a-suelo/?pdf=2743,2026-05-03 18:22:26,bathco
31,Technical specifications — Antequera bidet II — Antequera,,https://www.thebathcollection.com/productos/antequera-bide-suelo/?pdf=860,2026-05-03 18:22:26,bathco
32,Technical specifications — Striae oval — STONE,,https://www.thebathcollection.com/productos/striae-oval-beige/?pdf=3380,2026-05-03 18:22:26,bathco
33,Declaración de prestaciones — Striae oval — STONE,,https://www.thebathcollection.com/wp-content/uploads/2026/01/BATHCO-Declaracion-de-prestaciones-DoP-lavabos-de-piedra.pdf,2026-05-03 18:22:26,bathco
34,Manual de mantenimiento — Striae oval — STONE,,https://www.thebathcollection.com/wp-content/uploads/2025/11/Manual_de_cuidados_y_mantenimiento.pdf,2026-05-03 18:22:26,bathco
35,Technical specifications — Striae 39 — STONE,,https://www.thebathcollection.com/productos/striae-cuadrado-beige/?pdf=3374,2026-05-03 18:22:26,bathco
36,Technical specifications — Striae — STONE,,https://www.thebathcollection.com/productos/striae-circular-beige/?pdf=3368,2026-05-03 18:22:26,bathco
37,Technical specifications — Pemba — STONE,,https://www.thebathcollection.com/productos/pemba-doreng/?pdf=2852,2026-05-03 18:22:26,bathco
38,Technical specifications — Papua A — STONE,,https://www.thebathcollection.com/productos/papua-a-doreng/?pdf=2789,2026-05-03 18:22:26,bathco
39,Technical specifications — Icono — STONE,,https://www.thebathcollection.com/productos/icono-gris/?pdf=1924,2026-05-03 18:22:26,bathco
40,Technical specifications — Classic Cuadrado — STONE,,https://www.thebathcollection.com/productos/classic-cuadrado-grey/?pdf=17695,2026-05-03 18:22:26,bathco
41,Technical specifications — Classic Rectangular — STONE,,https://www.thebathcollection.com/productos/classic-rectangular-grey/?pdf=17698,2026-05-03 18:22:26,bathco
42,Technical specifications — Classic Circular — STONE,,https://www.thebathcollection.com/productos/classic-circular-grey/?pdf=17692,2026-05-03 18:22:26,bathco
43,Technical specifications — Boracay — STONE,,https://www.thebathcollection.com/productos/boracay-beige/?pdf=17685,2026-05-03 18:22:26,bathco
44,Technical specifications — Ticao Circular — STONE,,https://www.thebathcollection.com/productos/ticao-circular/?pdf=17947,2026-05-03 18:22:26,bathco
